koaid,night,order,wave_min,wave_max,n_valid,n_good,frac_good,frac_zero,snr_valid,snr_good,med_counts,med_frac_use,fwhm,flag_masked,flag_lowsnr,resid,resid_format,resid_det,nsigma,snr_rel,snr_rel_ratio,flag_anomaly,use
HI.19980717.32194,19980717,92,3847.5742,3902.6352,2037,1950,0.9573,0.0054,45.9623,46.3606,2285.0743,0.9350,2.3036,0,0,0.0198,0.0207,-0.0009,-0.8652,0.4839,0.9632,0,1
HI.19980717.32194,19980717,91,3889.8425,3945.5209,2037,1872,0.9190,0.0054,50.5549,50.5474,2772.7420,0.9313,2.2862,0,0,-0.0220,-0.0169,-0.0051,-4.9887,0.5276,0.9577,0,1
HI.19980717.32194,19980717,90,3933.0543,3989.3575,2037,1881,0.9234,0.0054,57.4687,58.2138,3621.2466,0.9312,2.2621,0,0,-0.0216,-0.0220,0.0004,0.3962,0.6076,0.9777,0,1
HI.19980717.32194,19980717,89,3977.2342,4034.1782,2037,2024,0.9936,0.0054,77.9895,78.0230,6985.8673,0.9447,2.3479,0,0,0.0623,0.0621,0.0002,0.2169,0.8144,0.9814,0,1
HI.19980717.32194,19980717,88,4022.4168,4080.0215,2037,2024,0.9936,0.0054,83.4256,83.4568,8100.3449,0.9464,2.3724,0,0,0.0428,0.0419,0.0010,0.9460,0.8711,0.9883,0,1
HI.19980717.32194,19980717,87,4068.6406,4126.9159,2037,2031,0.9971,0.0054,88.6905,88.7279,9337.7626,0.9468,2.3559,0,0,0.0246,0.0231,0.0015,1.4661,0.9261,0.9957,0,1
HI.19980717.32194,19980717,86,4115.9374,4174.9017,2038,2036,0.9990,0.0049,94.3760,94.3760,10783.0843,0.9477,2.3680,0,0,0.0183,0.0160,0.0023,2.2124,0.9851,0.9996,0,1
HI.19980717.32194,19980717,85,4164.3448,4224.0159,2038,2003,0.9828,0.0049,97.3584,97.2360,11621.7383,0.9483,2.3508,0,0,0.0097,0.0092,0.0006,0.5579,1.0149,1.0003,0,1
HI.19980717.32194,19980717,84,4213.9089,4274.2990,2037,1997,0.9804,0.0054,100.1359,99.9058,12457.9108,0.9481,2.3469,0,0,0.0014,0.0022,-0.0008,-0.7718,1.0428,1.0011,0,1
HI.19980717.32194,19980717,83,4264.6652,4325.7948,2039,2036,0.9985,0.0044,97.8554,97.8253,11784.7055,0.9498,2.3435,0,0,-0.0303,-0.0258,-0.0046,-4.4340,1.0211,0.9987,0,1
HI.19980717.32194,19980717,82,4316.6599,4378.5441,2039,2032,0.9966,0.0044,108.1414,108.1577,15088.8794,0.9502,2.3445,0,0,0.0007,0.0019,-0.0011,-1.0996,1.1289,1.0107,0,1
HI.19980717.32194,19980717,81,4369.9371,4432.5963,2039,2029,0.9951,0.0044,113.1498,113.1882,16925.1800,0.9476,2.3418,0,0,0.0046,0.0040,0.0005,0.5329,1.1814,1.0183,0,1
HI.19980717.32194,19980717,80,4424.5470,4488.0033,2039,2029,0.9951,0.0044,118.7630,118.7397,19195.3486,0.9479,2.3431,0,0,0.0101,0.0091,0.0010,0.9450,1.2394,1.0267,0,1
HI.19980717.32194,19980717,79,4480.5409,4544.8070,2039,2025,0.9931,0.0044,124.0185,124.0834,21599.5007,0.9469,2.3453,0,0,0.0124,0.0097,0.0028,2.6902,1.2952,1.0363,0,1
HI.19980717.32194,19980717,78,4537.9700,4603.0611,2039,2020,0.9907,0.0044,126.8213,126.7757,22984.3751,0.9465,2.3421,0,0,0.0092,0.0079,0.0013,1.3054,1.3233,1.0424,0,1
HI.19980717.32194,19980717,77,4596.8935,4662.8425,2039,2034,0.9975,0.0044,129.4466,129.4557,24435.3497,0.9457,2.3362,0,0,0.0086,0.0071,0.0015,1.4131,1.3512,1.0453,0,1
HI.19980717.32194,19980717,76,4657.3629,4724.1910,2039,2029,0.9951,0.0044,128.8811,128.8346,24158.4112,0.9447,2.3217,0,0,0.0011,0.0005,0.0005,0.5166,1.3447,1.0465,0,1
HI.19980717.32194,19980717,75,4719.4461,4785.9109,2000,1989,0.9945,0.0234,131.4244,131.3946,25579.9022,0.9440,2.3236,0,0,0.0077,0.0063,0.0014,1.3196,1.3715,1.0495,0,1
HI.19980717.32194,19980717,74,4783.2064,4850.5792,2000,1992,0.9960,0.0234,132.2336,132.1970,26109.5177,0.9440,2.3185,0,0,0.0102,0.0100,0.0003,0.2734,1.3798,1.0459,0,1
HI.19980717.32194,19980717,73,4848.7184,4918.3122,2039,1988,0.9750,0.0044,127.0245,127.3992,23353.0404,0.9417,2.3103,0,0,-0.0100,-0.0082,-0.0017,-1.6961,1.3298,1.0311,0,1
HI.19980717.32194,19980717,72,4916.0447,4986.6156,2039,2032,0.9966,0.0044,129.9822,129.9192,24984.8528,0.9407,2.3134,0,0,-0.0029,-0.0016,-0.0012,-1.1997,1.3561,1.0476,0,1
HI.19980717.32194,19980717,71,4985.2695,5056.8367,2039,1904,0.9338,0.0044,127.6745,127.7267,23714.4263,0.9296,2.2289,0,0,-0.0157,-0.0135,-0.0022,-2.1656,1.3332,1.0405,0,1
HI.19980717.32194,19980717,70,5056.4771,5129.0647,1927,1712,0.8884,0.0591,131.8497,132.1303,26018.7230,0.9262,2.2478,0,0,-0.0050,-0.0050,0.0000,0.0000,1.3791,1.0580,0,1
HI.19980717.32194,19980717,69,5129.7477,5203.3862,2040,1858,0.9108,0.0039,133.7613,133.9976,27308.0571,0.9275,2.2276,0,0,-0.0081,-0.0070,-0.0011,-1.0873,1.3986,1.0643,0,1
